"","GSM341241","GSM341242","GSM341243","GSM341244","GSM341245","GSM341246"
"Apobr",7.470401,13.79644,21.67382,17.50648,10.20406,13.73414
"Col4a3bp",254.0304,263.7003,243.6716,291.0317,276.4352,274.0749
"Gna14",338.6256,321.7519,404.2637,304.6386,269.3753,297.3184
"Mpv17",78.51531,101.9926,105.1355,75.49876,78.75106,69.4453
"Prss12",120.9564,93.14966,133.0474,97.47021,87.75409,94.82418
"Pax3",8.465779,11.02242,8.887951,13.12579,8.731517,10.60948
"Zfp354a",25.96833,34.54118,33.40666,19.58844,22.91883,27.3535
"Nos2",1.16061,2.960569,1.145637,4.738482,1.373068,0.9769961
"Kif9",415.8521,431.9162,381.6019,498.014,524.3986,475.9
"Spen",104.1774,99.61446,116.7748,126.2335,121.1789,107.6189
"Gfi1b",5.622866,6.093899,10.49022,9.041597,13.15422,7.063278
"Sval1",2.169884,2.71574,1.9632,0.2906503,1.243932,0.5963058
"Ramp3",61.45747,51.81723,65.51907,67.84901,63.54622,59.26403
"Cd86",2.84365,5.447217,24.37724,8.478865,1.352698,10.61716
"Slco1a4",24.24366,30.4782,57.42995,27.42881,26.19485,35.84853
"Peg12",11.39911,16.2221,17.37165,12.31578,7.327881,11.14976
"Ltb4r1",1.787713,0.9575955,1.11777,1.638656,1.472844,1.315604
"Abcc9",24.42814,24.49311,32.5391,22.75012,22.73908,23.86648
"Krt35",0.08833383,0.2747399,0.4248694,0.4714851,0.5668547,0.4165276
"Nr5a2",19.16198,16.21763,19.29728,9.61775,14.4336,13.52058
"Tnfsf10",1.521124,1.346816,5.002222,1.325942,2.365648,1.105526
"Slc7a11",4.359852,6.593358,6.830869,5.248909,2.159684,6.188058
"Hoxa11",2.720235,1.457264,2.120564,7.196457,1.795273,0.8217412
"Krtap19-9b",2.670937,4.60769,3.887584,0.9777041,0.9515814,1.215048
"Sema3a",6.920698,12.19247,14.63656,10.15836,8.607102,10.70582
"Otof",4.70187,5.186479,7.133217,5.124609,4.116455,4.000283
"Hao1",12.61024,9.27558,7.289612,10.44329,7.703296,10.86822
"Klrb1b",5.762741,7.275878,9.657537,5.083753,8.751571,6.775408
"Pcdhb21",3.518553,5.608536,5.318831,4.239884,5.158487,3.294245
"Tcl1b4",1.077674,2.929177,0.6157081,0.6228616,1.703762,0.5078385
"H2ap",0.8646207,3.910954,0.6304289,2.940392,2.918051,5.77091
"Prdm1",16.66469,17.67983,16.86344,11.55596,13.7675,12.45347
"Myo7b",8.536168,2.746374,6.087293,7.22105,2.252667,11.51127
"Dhx32",108.0536,108.6621,112.9344,107.6185,91.31674,107.3071
"Ager",7.724958,4.824151,14.81898,12.55284,15.09393,14.47218
"Pcdhb3",12.03254,14.68647,15.40746,10.5849,9.551214,15.34937
"Ccdc159",3.364662,0.7248858,1.238631,6.868588,4.571013,4.902539
"Rptn",4.305106,5.295079,3.744532,2.104444,3.92901,3.390224
"Tas1r1",5.117996,1.244492,1.303727,5.435655,1.613271,8.728548
"Taf7l",369.6393,373.5941,395.2268,351.3107,347.3316,379.3155
"Cldn16",2.135517,2.022889,1.087703,1.724276,2.23588,4.439637
"Krt88",4.463747,6.680243,7.798131,42.34266,28.70098,46.29843
"Ido1",17.03571,11.87,7.54708,15.21889,12.61984,12.64961
"Orm2",1.397267,2.137756,0.202096,0.9909022,0.1424784,0.9831823
"Tsx",1270.122,1306.953,1519.055,1021.796,1077.765,1166.805
"Ppy",0.9864114,1.699172,0.6354318,1.983177,2.108946,0.761295
"Cenpc1",523.4366,549.5698,430.3673,513.6803,566.4153,523.7926
"Cacna1s",25.91506,20.62449,26.93102,21.65343,22.33663,23.34108
"Pcdhb19",4.884759,7.08191,9.121187,5.667595,4.542121,7.840678
"Slc22a3",13.60065,12.98507,13.09591,14.33177,7.749046,12.40172
"Slc16a8",1.753909,2.469637,1.836625,1.625132,4.103183,2.201169
"Odf3",1.878909,5.05223,2.46182,7.61236,9.02413,27.90414
"Sult1e1",7.9951,9.639116,12.13957,7.318264,4.92792,9.408038
"Heatr5b",13.06183,13.84464,16.82763,11.84352,9.238422,15.80189
"Mmp10",3.72692,2.803411,4.7542,2.701006,6.867161,6.930809
"Asic5",7.351145,7.860197,6.729997,9.049245,8.188418,6.162708
"Krtap5-2",0.5283958,0.4183398,0.8714741,0.9745327,1.141027,1.082034
"Crygs",11.70357,12.76165,18.49586,8.27049,8.044871,13.42794
"Gcm2",1.646586,2.312854,3.338064,1.515608,3.160488,1.670111
"Dvl3",13.27029,12.1239,13.6918,8.789132,3.582973,15.5323
"Tac4",4.756703,5.681169,5.216454,3.00375,1.024235,7.647659
"Ripply3",4.78386,3.312141,5.572752,2.589519,3.573082,2.262578
"Mst1r",43.24291,39.38403,44.46492,55.13829,45.9861,49.09378
"Il1rapl2",0.4981298,1.303353,3.579954,1.318962,2.599565,1.565379
"Clnk",11.42949,19.34032,8.474987,16.84182,22.62655,14.8272
"Mucl1",3.203563,1.836055,8.006289,17.22408,8.360042,21.20438
"Psors1c2",81.47825,76.82214,59.3914,97.79723,94.89436,109.2206
"Asb17",26.00246,27.62299,34.55643,31.14625,31.02848,58.73169
"4933411G06Rik",44.12908,48.1707,49.71508,152.5467,107.8529,169.1785
"Sult1c1",2.450588,3.579452,4.37763,2.727772,2.622132,4.046859
"Hcrt",2.863235,6.232131,8.965123,5.330132,3.731393,3.050663
"Mtpn",1178.798,1057.652,1166.389,1046.436,1080.415,1088.668
"Nap1l1",1409.474,1409.599,1520.462,1466.081,1582.263,1292.513
"Cnnm3",477.8723,413.5103,434.0239,405.0075,324.3347,393.0864
"Vtn",14.71397,18.55726,22.61041,11.73597,15.59811,20.69033
"Nol7",1156.505,1171.738,1033.661,1160.505,1245.086,1185.377
"Mrps14",449.2106,440.8869,421.0541,423.3815,390.4258,424.7189
"Klk1b16",0.09039798,0.9080653,0.6000547,0.3125176,0.358721,2.046566
