"","GSM341241","GSM341242","GSM341243","GSM341244","GSM341245","GSM341246"
"Igkv5-39",1.387378,4.328174,1.161879,2.415498,0.4003208,2.554294
"Igkv14-111",2.967433,1.785951,1.892186,0.4453517,4.062861,1.108486
"Il1f10",1.001028,0.4980536,0.4288037,0.6456721,0.4173164,0.5705834
"Igkv6-20",0.1459303,0.6613194,0.7815711,1.42019,0.2377408,0.4866718
"Mia2",1.833156,1.839556,5.416668,1.650529,1.813362,4.75028
"Kpnb1",1087.578,1143.861,1044.883,1113.539,1159.309,1130.379
"Xrcc5",341.6511,351.7038,339.0197,370.4277,391.4944,367.9001
"Daglb",178.7437,169.3959,197.8587,146.886,126.1452,141.8994
"Cul4a",718.2112,747.324,550.7209,650.2764,668.9649,688.2259
"Uba5",215.6665,247.0926,213.3283,191.2399,204.4346,193.6878
"Osbpl2",333.9689,275.3105,332.7805,290.9319,272.0793,305.0024
"Fam220a",43.94382,47.72217,51.13094,52.23537,38.6011,49.92336
"Loxl1",228.5793,204.8102,288.0511,205.0285,186.4208,250.7954
"Kras",732.7575,694.3051,658.1893,677.8929,635.2576,678.4156
"Casd1",333.2927,349.546,311.3398,317.3079,341.252,319.5953
"Tpgs1",20.19962,14.40084,20.61906,18.64668,14.92782,16.14985
"Map2k4",489.6471,500.7767,554.2822,452.9001,435.9983,466.2495
"Irx1",9.034357,9.033217,6.014532,7.88512,5.530136,9.059714
"Hnrnpul1",638.0974,683.8311,601.9159,763.2562,779.939,702.1891
"Lrrk1",71.29555,71.02512,104.8938,67.69064,52.94192,70.99115
"Chmp4b",627.7693,643.4102,628.9029,599.5729,630.0622,739.7324
"Mapre2",322.2868,299.2892,377.9297,278.2296,233.3175,280.75
"Grk2",79.65748,71.0868,73.05591,63.40498,68.34148,66.93369
"Glyr1",569.313,572.5365,533.6395,562.6045,589.5743,592.389
"Taf11",316.4298,368.0075,348.2653,340.929,375.0436,351.7654
"Tm2d1",199.491,192.9817,213.1432,205.7777,205.91,190.3433
"Zfp426",183.08,179.9579,193.8883,179.2222,165.8918,194.5393
"Tasp1",222.2851,208.2559,152.7275,190.182,208.2505,221.5082
"Sars",493.9504,436.7823,497.8064,442.9518,404.346,426.1982
"Nfe2",6.803659,5.717554,5.132547,3.591896,0.5003729,6.785094
"Calca",11.11823,12.50068,9.946718,12.42019,14.33671,13.67004
"Ttc39b",284.9702,293.8758,240.7264,307.2242,342.0863,306.1426
"Exosc1",660.1355,593.1374,609.6807,587.4436,552.45,560.7844
"Atp10a",118.6464,114.3215,142.1853,147.2829,120.6638,175.846
"Alox5ap",41.90965,53.33287,83.61613,38.62719,38.43722,51.10092
"Sox15",15.20615,17.36567,12.34409,17.71662,13.56221,13.14756
"Nkx2-6",14.34554,16.92142,14.65233,16.25326,15.31311,24.99485
"Cyyr1",10.02149,10.93131,9.329987,10.22797,8.172353,8.578088
"Asb16",1.522809,1.49789,1.634261,0.9390724,1.636413,0.9476076
"Ldb1",125.78,98.51412,105.6085,86.38463,63.37785,61.17237
"Pla2g12a",137.1155,131.3638,140.4881,158.0748,149.9747,142.8655
"Cdh23",23.24873,30.66239,28.9239,22.88731,30.97968,17.93261
"Slc1a3",103.2803,106.2894,110.5965,112.6984,112.2328,133.1596
"Prkar1a",695.1036,716.2523,635.1552,661.6039,760.7584,640.7991
"Col4a1",817.1417,816.2715,1032.39,661.8432,704.9876,848.1854
"Tmpo",787.5062,808.0468,782.9708,779.9828,809.3556,779.1398
"Bap1",490.2165,487.4872,439.5836,529.1593,466.6994,596.8444
"Cdca3",911.5207,882.843,851.1842,1054.119,1073.296,1034.284
"Klhl26",57.5383,57.94383,62.53233,48.18752,48.6095,50.86977
"2310011J03Rik",94.20165,98.1171,104.257,102.4755,91.08133,86.60419
"Arpc5l",722.7251,693.4771,659.281,758.8171,750.4348,789.6827
"Cacybp",1036.215,960.2372,990.7414,974.3535,980.7354,966.2341
"Mrpl12",541.6167,532.4052,541.8027,589.8866,607.4376,548.6457
"Rpl7l1",632.7914,587.8391,625.0316,560.2946,551.4003,546.0616
"Camk1d",86.37296,107.4714,110.9886,89.28331,106.8661,87.90807
"Ube2w",580.8824,612.2657,582.6332,563.8813,600.9999,616.2573
"Ctdsp1",337.7944,340.2939,420.6296,313.5891,275.6232,326.6
"Slc35f5",767.4233,724.2806,706.0159,721.1314,696.0836,658.3267
"Limk2",86.6624,92.94582,98.07892,93.95291,88.9623,110.1939
"Strbp",935.7722,898.9304,880.9223,963.1584,900.9662,975.0145
"Prpsap2",265.4705,215.9575,238.4745,240.6823,242.9272,203.0874
"Zbtb8a",92.65381,70.93977,63.29221,111.3336,88.48618,77.09695
"Med23",431.6784,439.5594,393.8534,448.5751,437.803,459.6186
"Vstm2a",4.575188,5.449463,4.06853,8.588062,5.844599,5.541974
"Ndfip2",274.0207,286.4091,249.0118,312.5259,289.5798,325.9812
"Naaa",62.606,78.4709,80.41241,77.52676,65.21971,70.67107
"Thap7",474.6219,419.8134,443.6084,525.5034,483.2908,499.641
"Dedd2",70.78373,77.15614,62.78587,77.92371,81.73176,91.82224
"Myct1",19.22432,18.59953,33.0089,23.89278,17.1584,18.56397
"Pimreg",27.8814,27.47894,30.29219,27.34002,20.39644,19.52621
"Pus10",280.3873,268.0836,245.6575,297.8137,293.5334,344.3992
"Spryd4",96.07279,84.32446,95.62695,91.28554,75.00922,97.69868
"Dcun1d1",192.4433,186.3162,193.9771,204.2265,211.727,208.0839
"Misp",18.34422,21.1018,16.83994,18.55116,12.39451,20.77184
"Pja1",914.5173,856.6918,936.481,747.1501,719.8203,827.868
"Zcchc17",114.4114,112.2306,122.2387,101.9303,99.27849,120.1889
"Gatad1",1028.841,945.2433,940.629,1020.083,963.0872,975.8593
"Trmt5",291.7181,318.5556,319.9333,320.9159,317.7164,316.9415
"Epsti1",85.76129,93.27789,87.14924,142.9712,155.3572,137.2354
"Zbed3",83.78004,95.19761,79.74133,100.3592,104.8891,93.51163
"Cacnb4",47.66259,51.78934,49.66962,50.65993,60.32522,58.27235
"Chst15",57.35287,69.17123,66.00864,46.9909,56.917,65.94941
"Tmem185b",509.7732,422.6041,441.7646,398.7577,383.0498,412.8486
"P4ha1",225.7262,284.1225,271.5055,226.2744,248.6991,238.3125
"D230025D16Rik",235.7723,228.46,250.0627,227.7697,192.1928,220.1029
"Chtf18",203.1436,178.2115,215.1262,170.1493,158.2054,150.2454
"Utp25",185.4471,173.9082,188.5039,171.7765,163.5843,171.4052
"Ctdnep1",259.4924,266.3686,280.9622,275.4698,250.2569,279.9649
"Arl16",94.14861,102.4589,93.76047,89.0047,100.065,82.37613
"Tsc2",197.5046,170.7319,228.8169,167.1294,153.6943,196.1506
"Npnt",78.33676,71.39813,81.18172,80.74244,74.47326,87.41366
"Mtrr",227.9683,197.6515,168.9726,223.077,170.5412,176.2758
"Mrps35",224.0671,231.031,263.1224,212.9742,210.3811,224.5927
"Rab23",241.4146,226.3314,196.9231,264.2385,262.3923,257.6176
"Igfbp5",54.15405,66.36368,110.1798,79.39019,41.02011,45.67008
"Atf2",914.7397,875.5353,812.9127,867.266,901.2593,885.7507
"Fyb",34.64781,31.40573,49.96062,53.89386,46.06911,61.06592
"Naa40",284.7261,301.1832,248.9621,309.4853,308.7619,326.1266
"Ecpas",423.2029,464.8584,475.5569,390.3096,418.8098,444.5457
"Ank3",188.2667,158.4394,240.3629,163.2578,140.6187,194.3885
"Zfp160",66.73048,78.35956,69.31212,60.06315,67.9437,65.01179
"Ptpn13",115.846,134.6681,156.1669,94.66586,86.82063,117.2551
"Brcc3",168.8396,148.5525,181.3189,134.9742,124.4727,127.8991
"Pth2r",6.641353,5.788011,5.807785,2.288588,3.491744,3.706377
"Tlcd1",446.4604,379.1205,396.4952,584.7688,502.5184,532.8643
"Uqcrh",1312.025,1237.454,1255.341,1252.329,1302.05,1264.658
"Tmem175",199.7724,208.1629,187.3036,238.0656,245.8613,195.0942
"Gpx6",7.176629,4.881738,9.268429,28.91028,14.5966,37.72572
"Acbd3",31.14369,29.44618,34.75828,33.45952,32.92378,28.11065
"Slc35c1",56.54813,53.49197,54.19643,39.2979,32.45216,49.6365
"Selenop",934.6346,938.7531,1033.728,907.443,884.218,896.699
"Slc6a1",19.55154,20.40431,23.15604,12.78053,13.08766,10.54002
"Sptbn1",1120.548,1057.463,1060.892,998.4856,1037.115,1080.342
"Mrpl44",890.4381,903.5403,844.5879,870.4905,856.6149,890.3613
"H6pd",134.2008,159.9183,232.087,129.5303,118.4332,148.2136
"Sec24c",375.6007,377.9137,387.1861,380.1567,396.1381,408.9471
"Ube3b",262.0635,268.7964,254.7881,282.0832,298.6282,307.994
"AU040320",311.6764,333.1469,304.6068,363.2417,367.7282,391.9626
"Gramd4",68.52876,80.54327,81.10117,73.45997,85.10757,64.36613
"Clint1",763.7396,755.1677,798.3842,707.1776,700.8948,720.6049
"Fbh1",261.7235,245.1024,286.5136,236.8715,214.3224,244.3757
"Ddx17",1297.743,1301.91,1274.428,1245.591,1367.297,1273.345
"Nisch",622.9187,563.7817,667.4349,586.9317,510.3232,641.2393
"Eprs",558.0574,560.1753,584.1858,534.2303,531.8765,587.274
"Apmap",250.1706,249.4274,268.5455,223.9105,199.1154,226.7105
"Retreg2",511.7669,497.3067,461.6377,556.2106,552.4916,570.3118
"Prl2b1",0.3279348,0.3659693,3.856775,0.2438895,0.9313055,0.2502315
"Krt10",156.4044,167.5659,166.2032,190.0513,182.2618,205.2628
"Selenot",1104.878,999.5263,1040.463,1063.705,1108.783,1095.947
"Gspt1",712.978,662.42,684.5738,704.2278,696.9553,742.1961
"Dgkz",167.6284,155.1564,188.1344,146.7072,121.5183,161.0512
"Chpf2",20.16906,26.93984,23.59303,16.09465,24.21846,18.98235
"Hadha",299.3992,328.9039,353.9223,372.0712,371.8839,338.1638
"Srebf2",158.0281,166.3999,192.9734,166.0079,150.5245,172.9948
"Nup153",624.4619,631.0116,541.3115,639.6369,630.7677,632.3237
"Galnt2",256.6816,265.9637,286.7964,222.9576,193.5578,225.9432
"Rbm5",792.7176,809.4443,727.6865,723.4772,842.85,821.2695
"Wdr82",982.9158,957.9048,918.45,858.8306,855.9175,880.4868
"Prcp",191.3237,181.6275,233.7693,225.8194,197.1661,198.6982
"Naf1",776.3494,765.9643,713.0362,695.7892,766.8622,764.1306
"Wasl",1061.32,993.6539,952.641,965.8062,980.0807,952.3923
"Nckap1",990.4431,939.4868,960.2901,863.0277,861.8101,919.935
"Smc4",1308.019,1226.351,1137.913,1261.663,1321.162,1245.25
"Kdm2b",867.1798,879.7851,793.0511,824.2063,865.4318,883.9427
"Tmem209",576.6457,624.4405,531.6667,626.0297,683.5356,618.8458
"Cdkn2aipnl",107.1962,130.3515,142.604,113.6455,128.8232,113.6642
"Swsap1",81.94212,75.04392,81.54994,70.58288,58.44742,75.19205
"Pde2a",19.57166,19.56486,21.82166,21.17605,17.7832,22.00548
"Nabp1",768.1801,761.7979,745.0245,708.1627,680.8322,670.7977
"Anks1",65.22112,56.65163,63.49394,54.06228,44.9123,55.90894
"Sucla2",1050.406,988.5732,955.8909,1086.442,1091.719,1106.513
"Cited2",953.1705,870.5457,973.7457,822.0825,819.0472,805.9031
"Prdm4",459.0279,435.2625,426.2253,435.8225,426.8278,440.9995
"Pkp4",668.8405,665.7132,647.6407,650.1698,683.3124,717.7202
"Dna2",115.7852,117.5496,112.6996,102.5008,102.7245,120.7796
"Tex2",1249.522,1237.474,1153.793,1298.648,1383.05,1205.907
"Skil",605.4081,623.0806,607.1192,649.4001,704.3602,659.9385
"9130401M01Rik",334.0183,313.2777,365.7829,273.6079,239.7587,304.5688
"Mcat",323.8301,304.6167,287.0237,347.4713,349.7499,388.3909
"Ahnak",925.0504,921.9158,957.0555,875.4382,846.1135,860.9798
"Tmem63b",24.97265,22.27645,29.07873,18.27524,17.79915,22.83263
"Dock1",330.3594,387.0783,409.2513,333.638,303.2756,327.1519
"Cxxc1",458.2202,449.5207,467.2662,473.4669,444.4732,475.7978
"Utrn",827.7031,834.1081,814.2814,734.2812,743.127,752.2227
"Ccser2",573.2363,547.4628,569.4265,527.8475,524.4256,501.4907
"Sppl2a",225.215,217.9406,233.0688,198.0089,204.239,204.9854
"Rcc2",510.904,507.6541,536.0571,420.2994,415.9418,427.7003
"Sel1l3",74.0098,49.92921,49.4667,61.89624,47.39576,42.20972
"Abcc1",739.0289,729.4641,781.4805,623.9775,658.8166,684.3707
"Man1b1",197.551,201.6184,173.5755,209.9327,212.4604,212.8072
"Gt(ROSA)26Sor",521.7777,505.7218,444.383,495.2446,480.3745,527.0818
"Celf4",219.884,220.654,200.8783,242.473,219.968,224.3525
"Topbp1",614.7443,602.3171,548.64,561.0076,563.876,597.6945
"Cep55",760.6888,775.249,691.7681,777.2015,794.9222,766.3372
"Kcnj14",9.403904,8.105308,7.484392,7.50912,6.693472,5.61132
"Ostf1",151.3926,137.2033,167.4679,136.2535,112.2719,114.9368
"Plekhg5",119.9225,163.4502,179.9605,106.7692,93.5496,143.6449
"Prickle1",565.1962,593.2115,663.4381,548.9965,541.0916,530.8621
"Col6a2",348.7458,501.5938,667.4732,453.6882,304.1698,455.0046
"Nbea",251.526,266.1716,233.919,248.7767,238.8409,299.5561
"Utp20",547.3057,497.2452,486.5569,497.1953,487.8542,513.6644
"Crim1",73.42292,87.31333,70.98979,60.36786,77.05009,62.8885
"Fbxo38",452.1277,452.2725,441.5841,489.1293,458.1395,500.6696
"Tefm",266.449,252.1997,243.6404,246.4299,284.5005,266.9639
"Bdh1",35.91733,23.47926,23.55364,27.75543,29.10682,26.57442
"Cidec",10.09931,9.657347,13.35372,4.140177,8.563931,7.812004
"Shprh",460.0641,472.8088,425.3803,452.8932,466.1164,434.4278
"Grpel2",205.5128,197.4353,204.3469,166.925,167.6847,181.0304
"Slc35f4",9.768642,13.96492,15.17303,8.348535,6.395643,8.699919
"Tns2",65.32577,61.81087,74.57129,53.86017,42.33308,51.25061
"Clasp1",211.9963,207.4081,236.5619,189.0763,178.3926,234.0023
"Las1l",151.3182,132.0959,133.8357,106.3617,98.30779,122.3097
"Sptbn2",52.77079,39.35705,54.24041,34.07197,38.24398,47.84519
"Cubn",38.71871,44.37178,49.31578,64.36609,73.02231,62.4278
"Gfer",521.4498,459.2319,466.0027,511.7319,463.8226,486.849
"Fam83h",42.27572,41.41746,32.88499,32.97909,31.64699,48.90517
"Zfand3",365.5947,367.8704,353.5869,428.7402,380.5266,448.0422
"Smarcad1",351.3589,381.0135,361.0695,340.2404,336.3084,330.1254
"Hace1",379.4695,378.1603,326.1586,338.66,379.9125,347.2974
"Cfp",62.60619,67.49373,87.5583,46.86215,59.37479,59.50691
"Farp1",89.7204,104.2548,116.4723,103.0562,82.87316,92.81561
"Sos2",382.265,400.7107,393.5461,316.5102,325.0824,356.5777
"Med26",919.3286,960.3851,845.7813,1039.618,1085.483,1070.041
"Rassf8",155.7442,147.0929,198.4865,145.3693,143.0847,131.5276
"Ptprz1",7.154303,6.2781,4.866377,6.334172,4.170482,5.217696
"Eif3f",928.1619,820.5801,854.1614,822.7881,891.3423,875.4816
"Slain2",937.5801,895.6692,855.9,895.6877,997.0986,939.2354
"Msi1",726.5889,695.015,722.8028,676.1609,649.5736,634.1156
"Mtmr10",369.1421,369.4717,380.9159,361.4799,361.4406,381.3454
"Rnf135",283.9664,266.9709,336.4915,186.0482,183.6206,224.1365
"Tmem106b",243.1271,250.6954,217.938,272.2915,232.5973,247.1726
"Arap2",571.444,559.952,594.9139,473.0262,468.8854,490.4516
"Pcdh1",2.495308,0.2069138,0.1927597,0.2417002,0.2252856,2.841295
"Myo5b",169.3434,151.9811,211.8092,124.3668,119.895,187.7673
"Aldh3b1",38.49169,40.02286,43.30978,73.60818,49.71931,60.21207
"Arhgef10",523.2764,577.6225,576.1307,589.1824,652.5376,568.05
"Arhgef5",89.45201,83.76345,92.91635,65.97614,59.96093,89.48296
"Zfyve26",276.0757,272.0545,272.7747,278.7661,242.5236,297.8507
"Cables2",347.519,329.7302,334.3945,377.7744,326.9459,388.6799
"Atp1a2",67.2418,112.5384,174.5323,72.25949,68.62991,85.237
"Cgnl1",187.5535,178.8669,235.5622,160.7599,128.2574,173.1903
"Tada2a",335.2432,348.0174,357.0844,356.5681,309.0875,303.0527
"Dmgdh",3.099472,2.22787,1.701776,0.3638878,2.083246,1.542792
"2810002D19Rik",87.38567,95.97842,87.58469,121.2888,108.2992,129.5534
"Rhno1",628.5781,553.0988,635.5176,654.282,615.7882,631.6927
"Ints12",123.5523,120.3043,124.2062,142.6015,129.8682,142.3672
"Hoxb9",45.73276,47.37905,48.97285,49.95576,55.54209,34.29793
"Hspa1b",422.589,465.7732,440.6455,364.4428,316.5311,399.5651
"Zfp82",58.54349,58.85876,57.04426,65.05361,60.30038,63.52073
"Lrp2",10.70815,10.46316,15.597,17.047,8.656601,19.60402
"Brwd1",443.5699,418.8969,454.474,425.211,430.6291,363.7427
"Spryd3",278.4996,266.2515,312.5583,247.7495,231.8235,256.1635
"Pvt1",73.70345,79.16788,56.08054,92.18294,79.64155,80.68028
"Trp73",1.553035,5.453238,5.947956,3.905685,2.835148,4.439095
"Atp2c2",11.9966,18.49818,12.64595,17.27404,13.66722,12.98688
"Plekhn1",53.82789,65.89014,54.22741,52.50083,70.74574,46.38675
"Mxra8",363.0642,351.1321,358.553,428.3802,384.3358,375.9322
"Ccdc85a",0.1695447,1.415204,2.351198,1.844127,3.793886,2.250242
"Mfsd8",158.8264,156.458,166.9873,149.4993,138.2681,156.352
"Zfp395",341.8303,310.8911,358.912,275.9935,301.2464,275.8217
"Tedc1",105.2019,97.6398,79.86244,112.8108,109.0115,101.8714
"Adamts7",9.181372,1.78075,6.996462,1.783633,0.8624862,0.8926674
"Zfp518b",230.4129,209.6091,220.5025,201.955,179.2672,197.303
"Echs1",230.6293,258.4012,324.2942,230.5945,216.9985,218.3754
"Apbb2",262.4003,249.7972,339.2859,238.2439,218.146,244.0458
"Ldlrad4",12.7798,13.16754,21.91246,15.09907,20.23463,17.45633
"Synj2",117.2784,119.9802,123.6544,87.55575,85.82547,96.09022
"Lmod2",2.467422,4.61023,3.445217,4.34167,2.618386,2.872791
"B4gat1",77.77194,79.88529,96.2197,83.54082,62.45596,89.14938
"Parp4",91.0984,100.5118,92.86662,75.26809,80.82581,74.68949
"Ctla2b",28.47535,45.0503,49.57737,25.05052,39.67418,32.20221
"Gpr155",59.8658,58.42371,78.1258,67.36804,54.87962,81.45242
"2810459M11Rik",5.174,5.370932,6.186847,5.38954,6.953532,8.779366
"Rd3",16.64703,24.5892,33.10653,33.64358,32.32321,37.23433
"Iqcc",36.77701,40.00796,37.17511,49.36768,46.81845,51.37277
"Rai2",48.36159,62.63969,64.65526,73.05291,52.60787,71.26786
"Rell1",190.8724,215.856,331.5086,193.3186,176.9073,210.8892
"Kdm5a",192.2853,280.6494,245.1375,275.5718,323.3934,257.77
"Csgalnact1",36.29338,43.3551,30.96536,28.72179,28.08798,29.03106
"Coro2a",237.8444,284.2262,284.2647,239.2569,211.9983,271.0885
"Bcr",125.2726,86.97439,107.9866,75.2169,66.49287,85.04182
"Srsf11",778.4533,774.3588,716.9686,757.8186,774.9484,750.8809
"Kansl1",695.8447,677.2895,639.1577,684.0825,700.7888,667.3205
"Zfp322a",180.9598,152.237,158.6214,165.919,153.5211,163.9763
"Aldh4a1",24.25932,26.38811,37.33393,21.12722,18.5577,26.82577
"Creb3l2",97.16653,105.8321,126.7842,91.6731,80.02764,75.86678
"Usp53",278.8609,281.6703,244.4895,220.1553,242.0417,238.4495
"Sall3",1.074722,3.329451,5.421782,4.002407,1.406275,1.616515
"Amotl2",156.4834,149.1472,177.7618,159.5703,151.9799,119.3904
"Hspa1a",34.91961,31.03955,37.95876,27.07873,22.12005,29.28509
"Cd27",2.989684,5.333427,4.372754,3.854445,4.68419,3.587511
"Brat1",120.88,122.291,144.4587,108.2948,89.82291,121.0665
"Cxadr",20.97066,20.05247,21.81083,28.48409,25.97367,16.41476
"Akna",23.36864,32.88466,26.70288,27.35554,30.24631,26.458
"Cars",123.0448,145.0038,129.6299,129.8205,132.7232,125.853
"Plce1",188.9943,168.8461,201.5947,168.2856,147.5945,193.1846
"Rgs6",9.139762,9.201682,6.680281,4.355321,1.775999,7.173031
"Hoxa11os",1.58062,0.3213825,1.625989,3.416889,1.646443,2.134714
"Wtap",823.4213,771.5751,817.6185,766.133,737.3129,764.7061
"Oc90",1.604297,0.5501806,0.926128,0.8058802,1.484466,0.4776399
"Phactr2",133.6067,136.1815,153.4637,119.6071,108.8505,137.359
"Trav9d-3",74.74982,79.5063,91.13554,74.56843,63.55404,68.7828
"Erdr1",702.8929,593.9201,614.623,365.0099,127.4486,202.7948
"Spag4",23.87573,32.37068,34.30822,73.5914,47.4907,104.2551
"Gpr31b",9.727512,9.690901,8.958211,15.3649,12.18756,16.55
"Fes",15.78969,16.78192,19.21287,17.79061,15.58089,13.16234
"Lrrc1",91.0633,93.77266,99.39111,92.91358,86.57293,107.2214
"Hoxc8",44.72844,48.03067,67.90986,43.04045,30.49104,40.91127
"Peak1",18.55576,20.22707,14.85452,20.74335,18.54178,25.99811
"Ccdc86",257.5765,288.671,286.1368,287.2621,275.9545,307.4832
"Il6ra",42.46274,64.06055,57.13298,47.07179,60.29063,42.29108
"Gm20186",496.9268,428.7073,478.6904,406.1917,505.1205,377.0992
"Stk32b",5.062485,10.19754,9.259782,7.847937,10.22507,7.6636
"Snrpb2",1099.332,1062.493,1041.219,1040.633,1136.066,1046.582
"Lpar4",4.61493,8.929255,8.089003,5.62359,5.555801,4.310797
"Tnfrsf14",4.993926,2.106032,3.209743,3.853718,3.144529,2.121194
"B2m",734.4379,706.763,851.0357,708.9697,652.0046,736.776
"Dgcr6",367.1913,378.9631,323.2423,485.6164,437.762,484.449
"Dcaf5",106.2607,130.0123,95.19008,136.3004,119.1271,139.0629
"Ccdc167",4.741388,1.894183,7.071368,0.9780933,2.746709,1.454562
"Taf4",336.9924,336.8166,312.8322,306.8838,275.1436,330.9065
"Srsf2",1325.174,1138.367,1102.271,1131.077,1079.089,1177.58
"Usp13",5.08731,5.833397,1.350029,5.926423,9.477096,5.369915
"Helz",388.2053,365.9567,391.0958,309.5518,298.0077,368.0068
"Slc41a2",682.6039,644.7927,753.3713,640.2122,609.4748,641.4572
"Tmub2",559.0007,509.7328,522.8206,515.4269,567.5344,574.3265
"Atp8b2",85.9483,66.92687,99.19656,63.33858,61.75329,58.09874
"Bean1",17.60319,17.74965,14.94226,22.80929,23.611,19.65305
"Camk2a",1.136633,0.9549612,1.646389,0.8683179,0.8203478,1.173308
"Sdad1",295.0731,299.3197,317.5854,327.7527,344.5687,282.6819
"Nrip2",19.50942,15.31014,21.13562,18.13683,21.11166,13.67367
"Lrr1",110.7236,130.3,126.6098,105.6432,120.2796,102.7975
"Ankrd26",10.45592,10.68731,10.8122,11.70627,12.46961,9.793833
"Banp",67.27279,61.24026,57.03378,56.13844,61.28255,52.07466
"Metap1d",311.7813,310.0668,308.92,281.3093,265.9147,279.8045
"Rbm6",203.1368,211.0346,178.069,213.4338,245.8975,199.0187
"Smtn",49.25461,59.70748,88.91492,51.07993,36.91316,62.1694
"Il17rd",5.285363,1.094573,5.636091,14.40701,6.507266,8.071659
"Rtp3",8.439351,12.90591,8.989876,12.14179,14.5574,8.053961
"Prr15",856.6859,782.0519,846.3327,770.7642,683.513,759.8898
"Art3",1434.642,1346.498,1259.555,1357.867,1377.755,1357.377
"Cacnb2",8.997392,5.139205,1.03318,7.340236,2.435453,4.613884
"Alpk2",0.3142722,2.417648,4.106067,4.119429,1.585412,3.220732
"Cfap61",162.9018,140.7107,128.2313,213.3417,230.9591,204.7117
"Plcb2",27.16927,24.79495,17.45479,13.02762,26.53,20.66077
"Car7",25.63087,32.15588,34.64913,21.56056,19.0956,22.72042
"Cryaa",2.390858,2.99461,0.974241,1.637494,1.157483,1.898308
"Slc37a2",55.1404,41.1821,54.52773,43.60199,52.01925,44.45987
"Atp11c",345.4217,324.55,401.5996,309.7465,241.0275,315.5021
"Cyp2c38",2.938955,0.6265489,1.956331,6.312385,3.117521,2.55927
"BC001981",40.45909,44.3208,39.11482,45.66424,44.64515,50.30293
"Ctbs",144.7797,131.9969,143.8118,152.0677,140.1995,119.046
"Ilkap",287.7467,320.9729,336.2918,278.262,317.456,250.4465
"Dlx6",5.843732,8.32577,7.858953,6.257073,7.982656,8.717379
"Ptms",103.1299,117.6308,163.0181,134.5116,111.8028,105.7022
"Usp9y",257.4247,200.275,254.9986,208.9096,182.6599,216.6898
"Pax7",0.1809646,4.10624,0.200815,0.5225686,0.3842221,0.5642568
"Kit",180.0071,187.4158,178.943,153.2363,158.0073,151.4078
"Xylt2",2.241276,1.760166,1.15732,1.516496,0.992513,1.041182
"Itk",1.391189,2.206796,5.322918,2.625702,3.066579,1.900208
"Zfp36",91.82901,109.7857,122.3682,101.1519,80.82815,89.77351
"Plaur",13.2835,15.01715,17.35364,14.79166,16.4898,15.52891
"Ccdc130",210.5211,222.1337,198.3414,244.8207,257.0576,220.2696
"Nkx2-3",19.02206,22.89598,22.97197,22.65122,32.74129,21.39857
"Hmgb2",1133.013,1228.822,1194.652,1263.302,1321.451,1219.007
"Igk-V1",0.3666173,1.179139,0.7186517,0.387279,0.3583611,3.820831
"Scgb1a1",6.950428,9.183079,6.149974,5.325494,2.093169,6.416517
"Defb11",86.2695,35.8231,58.0139,129.7438,62.0878,116.8834
"H2-T3",2.560891,4.020581,6.888805,1.612151,3.30363,1.822847
"Gm1549",0.4710283,4.275746,2.391301,2.508932,2.718557,0.858001
"Npn2",5.570465,4.246918,4.555373,3.421725,1.379902,5.029478
"Gm8479",23.59381,24.61205,33.10854,20.26287,20.25945,18.40729
"Igk",0.8109655,3.354483,2.076731,0.6015924,1.904184,3.342472
"4930448N21Rik",7.427896,2.850786,1.448886,2.706258,3.247572,2.890547
"Nfya",421.9724,438.7434,416.0394,394.8374,413.0686,427.1035
"Ofa",0.3407459,0.293392,1.330256,0.3217513,0.2642782,2.404006
"Slco1b2",2.940026,4.411402,5.453967,1.881848,4.006617,3.181542
"D0Kist5",1.972184,1.961924,0.3083027,1.950886,0.6812028,1.555169
"Tuba-rs1",401.1776,440.4116,305.3984,291.6566,211.7816,373.0497
"Iscu",704.2156,644.4224,643.5745,697.3215,683.9112,739.5979
"Mrpl21",287.2501,289.1509,335.167,327.0965,303.9475,314.6105
"Smdt1",590.4756,560.2967,588.9722,576.989,521.0089,574.3318
"Mrps28",422.5862,465.7406,413.12,450.3042,438.8218,430.6248
"Anapc13",578.6849,577.3579,587.0737,587.8904,577.5488,597.6131
"Actr2",797.4604,835.3546,827.163,737.8721,773.183,745.3727
"Zfp688",237.336,214.2062,233.7723,255.4598,245.5678,234.5738
"Ptk7",23.57087,24.90578,26.0292,20.00542,20.94106,8.882406
"Mzt2",488.0356,435.7133,435.6998,568.2919,566.6224,519.1785
"Mgst2",17.29198,14.83763,19.06742,10.53369,8.855242,11.29961
"Dusp11",537.0046,479.3502,507.979,436.2848,464.5774,453.7866
"Adamts4",58.09047,51.54429,58.65951,57.39166,68.49815,36.99895
"Cmc2",458.8068,371.4664,513.8977,449.0907,399.8569,371.8033
"Gins1",954.6365,918.0176,892.1842,1012.84,1038.204,986.1505
"AI413582",27.02484,29.96724,28.36819,38.17191,30.63332,30.5051
"Taf6l",30.43441,33.91385,28.58131,33.25686,35.51558,34.76922
"1700001C19Rik",8.802277,6.662136,13.77561,24.22097,21.4437,27.70972
"Dpcd",618.4089,576.3924,584.9355,649.3447,670.7135,604.907
"Stard13",65.40123,71.51958,82.52574,84.33165,79.90015,70.56021
